OFFGAS SYSTEM LOGS
============================================================

[2026-05-07T16:52:30.356724] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:35.347220] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:40.363713] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:45.378047] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:50.363475] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:55.370309] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:00.393786] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:05.388237] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:10.394002] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:15.384584] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:20.529997] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:25.394687] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:30.414578] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:35.403392] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:40.438377] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:45.350964] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:50.427969] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:53:55.386558] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:00.444421] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
